index,ID,ACTIVITYNAME,ACTIVITYID
0,1,BOATING,6
1,1,CAMPING,9
2,1,FISHING,11
3,1,HIKING,14
4,1,HUNTING,16
5,1,PICKNICKING,20
6,1,RECREATIONAL VEHICLES,23
7,1,WATER SPORTS,25
8,1,WILDLIFE VIEWING,26
9,1,WILDERNESS,28
10,2,BOATING,6
11,2,CAMPING,9
12,2,FISHING,11
13,2,HUNTING,16
14,2,PICKNICKING,20
15,2,WATER SPORTS,25
16,4,HIKING,14
17,4,HORSEBACK RIDING,15
18,4,PICKNICKING,20
19,4,RECREATIONAL VEHICLES,23
20,4,OTHER RECREATION CONCESSION SITE,38
21,5,BOATING,6
22,5,CAMPING,9
23,5,FISHING,11
24,5,HUNTING,16
25,5,PICKNICKING,20
26,6,BIKING,5
27,6,BOATING,6
28,6,HISTORIC & CULTURAL SITE,8
29,6,CAMPING,9
30,6,FISHING,11
31,6,HIKING,14
32,6,OFF HIGHWAY VEHICLE,18
33,6,PICKNICKING,20
34,6,RECREATIONAL VEHICLES,23
35,6,VISITOR CENTER,24
36,6,WATER SPORTS,25
37,6,WILDLIFE VIEWING,26
38,6,OTHER RECREATION CONCESSION SITE,38
39,7,BOATING,6
40,7,CAMPING,9
41,7,FISHING,11
42,7,PICKNICKING,20
43,7,RECREATIONAL VEHICLES,23
44,7,WATER SPORTS,25
45,8,BOATING,6
46,8,CAMPING,9
47,8,FISHING,11
48,8,HIKING,14
49,8,HUNTING,16
50,8,PICKNICKING,20
51,8,RECREATIONAL VEHICLES,23
52,8,WATER SPORTS,25
53,8,WILDLIFE VIEWING,26
54,9,BOATING,6
55,9,CAMPING,9
56,9,FISHING,11
57,9,HIKING,14
58,9,PICKNICKING,20
59,9,RECREATIONAL VEHICLES,23
60,9,WATER SPORTS,25
61,10,AUTO TOURING,4
62,10,BOATING,6
63,10,CLIMBING,7
64,10,CAMPING,9
65,10,INTERPRETIVE PROGRAMS,10
66,10,FISHING,11
67,10,HIKING,14
68,10,HUNTING,16
69,10,PICKNICKING,20
70,10,WINTER SPORTS,22
71,10,WILDLIFE VIEWING,26
72,11,BIKING,5
73,11,BOATING,6
74,11,HISTORIC & CULTURAL SITE,8
75,11,CAMPING,9
76,11,INTERPRETIVE PROGRAMS,10
77,11,FISHING,11
78,11,HIKING,14
79,11,HORSEBACK RIDING,15
80,11,PICKNICKING,20
81,11,RECREATIONAL VEHICLES,23
82,11,VISITOR CENTER,24
83,11,WATER SPORTS,25
84,11,WILDLIFE VIEWING,26
85,11,OTHER RECREATION CONCESSION SITE,38
86,11,ENVIRONMENTAL EDUCATION,103
87,12,BIKING,5
88,12,HIKING,14
89,12,HORSEBACK RIDING,15
90,13,AUTO TOURING,4
91,13,BIKING,5
92,13,BOATING,6
93,13,CAMPING,9
94,13,FISHING,11
